n,asi,com
100, 1920, 1380, 
200, 6378, 4552, 
300, 13608, 9672, 
400, 23724, 16816, 
500, 36789, 26026, 
600, 53001, 37434, 
700, 72456, 51104, 
800, 95118, 67012, 
900, 120993, 85162, 
1000, 150129, 105586, 
1100, 182670, 128380, 
1200, 218676, 153584, 
1300, 258285, 181290, 
1400, 301368, 211412, 
1500, 348012, 244008, 
1600, 397998, 278932, 
1700, 451701, 316434, 
1800, 508905, 356370, 
1900, 569682, 398788, 
2000, 633582, 443388, 
2100, 701601, 490834, 
2200, 773424, 540916, 
2300, 849111, 593674, 
2400, 928665, 649110, 
2500, 1012131, 707254, 
2600, 1099431, 768054, 
2700, 1190571, 831514, 
2800, 1285587, 897658, 
2900, 1384443, 966462, 
3000, 1487196, 1037964, 
3100, 1593822, 1112148, 
3200, 1704306, 1189004, 
3300, 1818621, 1268514, 
3400, 1936761, 1350674, 
3500, 2058855, 1435570, 
3600, 2184786, 1523124, 
3700, 2314575, 1613350, 
3800, 2448267, 1706278, 
3900, 2585772, 1801848, 
4000, 2727198, 1900132, 
4100, 2872476, 2001084, 
4200, 3021918, 2104912, 
4300, 3175542, 2211628, 
4400, 3333327, 2321218, 
4500, 3495273, 2433682, 
4600, 3661389, 2549026, 
4700, 3831642, 2667228, 
4800, 4006014, 2788276, 
4900, 4184634, 2912256, 
5000, 4367430, 3039120, 
5100, 4554381, 3168854, 
5200, 4745511, 3301474, 
5300, 4940589, 3436826, 
5400, 5140107, 3575238, 
5500, 5343756, 3716504, 
5600, 5551572, 3860648, 
5700, 5763549, 4007666, 
5800, 5979705, 4157570, 
5900, 6199992, 4310328, 
6000, 6424476, 4465984, 
6100, 6653160, 4624540, 
6200, 6885942, 4785928, 
6300, 7122936, 4950224, 
6400, 7364133, 5117422, 
6500, 7609524, 5287516, 
6600, 7859073, 5460482, 
6700, 8112717, 5636278, 
6800, 8370552, 5814968, 
6900, 8632551, 5996534, 
7000, 8898804, 6181036, 
7100, 9169182, 6368388, 
7200, 9443709, 6558606, 
7300, 9722427, 6751718, 
7400, 10005318, 6947712, 
7500, 10292382, 7146588, 
7600, 10583562, 7348308, 
7700, 10878942, 7552928, 
7800, 11178489, 7760426, 
7900, 11482221, 7970814, 
8000, 11790135, 8184090, 
8100, 12102219, 8400246, 
8200, 12418479, 8619286, 
8300, 12739152, 8841368, 
8400, 13064238, 9066492, 
8500, 13393755, 9294670, 
8600, 13727694, 9525896, 
8700, 14066064, 9760176, 
8800, 14408814, 9997476, 
8900, 14756067, 10237878, 
9000, 15107733, 10481322, 
9100, 15463812, 10727808, 
9200, 15824313, 10977342, 
9300, 16189206, 11229904, 
9400, 16558512, 11485508, 
9500, 16932300, 11744200, 
9600, 17310435, 12005890, 
9700, 17693016, 12270644, 
9800, 18079986, 12538424, 
9900, 18471465, 12809310, 
10000, 18867333, 13083222, 
